#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 265.8 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "5"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_XXmm_SINGLE_LAYER"
 5.324727297E-01 9.143882990E-01 -2.722525038E-02
 5.291514993E-01 9.143882990E-01 -2.652224153E-02
 5.291487575E-01 9.143882990E-01 -2.652166598E-02
 5.258272290E-01 9.143882990E-01 -2.582164295E-02
 5.258244872E-01 9.143882990E-01 -2.582107112E-02
 5.225037336E-01 9.143882990E-01 -2.512510866E-02
 5.225009918E-01 9.143882990E-01 -2.512454055E-02
 5.191799402E-01 9.143882990E-01 -2.443256229E-02
 5.191771984E-01 9.143882990E-01 -2.443199605E-02
 5.158559680E-01 9.143882990E-01 -2.374301106E-02
 5.158532262E-01 9.143882990E-01 -2.374244854E-02
 5.125327706E-01 9.143882990E-01 -2.305652015E-02
 5.125300288E-01 9.143882990E-01 -2.305595949E-02
 5.092101693E-01 9.143882990E-01 -2.237508632E-02
 5.092074275E-01 9.143882990E-01 -2.237452939E-02
 5.058885217E-01 9.143882990E-01 -2.169572003E-02
 5.058857799E-01 9.143882990E-01 -2.169516496E-02
 5.025674105E-01 9.143882990E-01 -2.102140710E-02
 5.025646687E-01 9.143882990E-01 -2.102085575E-02
 4.992471933E-01 9.143882990E-01 -2.034916356E-02
 4.992444813E-01 9.143882990E-01 -2.034861408E-02
 4.959287345E-01 9.143882990E-01 -1.968104765E-02
 4.959260225E-01 9.143882990E-01 -1.968050189E-02
 4.926109612E-01 9.143882990E-01 -1.901699044E-02
 4.926082492E-01 9.143882990E-01 -1.901644841E-02
 4.892939925E-01 9.143882990E-01 -1.835599728E-02
 4.892912805E-01 9.143882990E-01 -1.835545711E-02
